un_region,subregionid,ccode,siteid,year,totcarc,illegal
Africa,FE,ke,TSV,2004,65,19
Africa,FE,tz,KTV,2004,20,15
Africa,FE,tz,RHR,2004,6,1
Africa,FE,tz,SEL,2004,11,2
Africa,FE,tz,TGR,2004,11,0
Africa,FE,ug,MCH,2004,2,1
Africa,FE,ug,QEZ,2004,8,3
Africa,FS,bw,CHO,2004,73,5
Africa,FS,mz,MAG,2004,2,2
Africa,FS,mz,NIA,2004,14,0
Africa,FS,na,ZBZ,2004,6,0
Africa,FS,na,ETO,2004,4,0
Africa,FS,za,KRU,2004,18,0
Africa,FS,zm,SLW,2004,23,15
Africa,FS,zw,CHE,2004,14,3
Africa,FS,zw,NYA,2004,11,9
Africa,FW,bf,NAZ,2004,2,0
Africa,FW,bf,WBF,2004,1,0
Africa,FW,bj,PDJ,2004,3,1
Africa,FW,bj,WBJ,2004,3,0
Africa,FW,ci,TAI,2004,2,2
Africa,FW,gh,KAK,2004,5,0
Africa,FW,gh,MOL,2004,8,2
Africa,FW,gn,ZIA,2004,2,2
Africa,FW,ml,GOU,2004,1,0
Africa,FW,ne,WNE,2004,2,2
Africa,FW,ng,YKR,2004,5,3
Asia,SE,cn,XBN,2004,5,2
Asia,SE,id,WAY,2004,2,1
Asia,SE,th,SKP,2004,2,0
Asia,SS,in,CHR,2004,2,0
Asia,SS,in,DHG,2004,2,1
Asia,SS,in,EDO,2004,12,0
Asia,SS,in,GRO,2004,10,1
Asia,SS,in,MBJ,2004,12,0
Asia,SS,in,WYD,2004,2,0
Africa,FC,cd,GAR,2005,86,77
Africa,FC,cd,OKP,2005,22,21
Africa,FC,cd,SAL,2005,4,1
Africa,FC,cd,VIR,2005,9,4
Africa,FC,cf,DZA,2005,9,8
Africa,FC,cg,NDK,2005,4,3
Africa,FC,cg,ODZ,2005,73,0
Africa,FC,cm,BBK,2005,3,3
Africa,FC,cm,WAZ,2005,2,1
Africa,FC,ga,MKB,2005,6,3
Africa,FC,td,ZAK,2005,11,3
Africa,FE,ke,EGK,2005,1,0
Africa,FE,ke,SBR,2005,160,27
Africa,FE,ke,TSV,2005,60,17
Africa,FE,tz,KTV,2005,6,3
Africa,FE,tz,RHR,2005,15,10
Africa,FE,ug,QEZ,2005,1,0
Africa,FS,bw,CHO,2005,153,7
Africa,FS,na,ZBZ,2005,4,1
Africa,FS,na,ETO,2005,25,0
Africa,FS,za,KRU,2005,35,0
Africa,FS,zm,SLW,2005,4,1
Africa,FS,zw,CHE,2005,20,0
Africa,FS,zw,NYA,2005,6,5
Africa,FW,bf,NAZ,2005,3,0
Africa,FW,gh,MOL,2005,3,3
Africa,FW,ml,GOU,2005,2,0
Africa,FW,ng,YKR,2005,2,0
Asia,SE,cn,XBN,2005,5,4
Asia,SE,my,GMS,2005,3,2
Asia,SE,th,SKP,2005,1,0
Asia,SS,in,DHG,2005,1,0
Asia,SS,in,EDO,2005,8,1
Asia,SS,in,GRO,2005,2,0
